"Date","Event","Favourite Wins","Underdog Wins"
"Aug 26 2023","UFC Fight Night: Holloway vs. Jung | Links: 
                    UFC Fight Night: Holloway vs. Jung                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1317)",8,3
"Sep 09 2023","UFC 293 | Links: 
                    UFC 293                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1326)",8,4
"Sep 16 2023","UFC Fight Night: Grasso vs. Shevchenko II | Links: 
                    UFC Fight Night: Grasso vs. Shevchenko II                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1324)",8,1
"Sep 23 2023","UFC Fight Night: Fiziev vs. Gamrot | Links: 
                    UFC Fight Night: Fiziev vs. Gamrot                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1341)",6,5
"Oct 07 2023","UFC Fight Night: Dawson vs. Green | Links: 
                    UFC Fight Night: Dawson vs. Green                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1354)",5,5
"Oct 14 2023","UFC Fight Night: Yusuff vs. Barboza | Links: 
                    UFC Fight Night: Yusuff vs. Barboza                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1364)",7,4
"Oct 21 2023","UFC 294 | Links: 
                    UFC 294                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1330)",9,2
"Nov 11 2023","UFC 295 | Links: 
                    UFC 295                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1310)",10,2
"Nov 18 2023","UFC Fight Night: Allen vs. Craig | Links: 
                    UFC Fight Night: Allen vs. Craig                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1388)",11,2
"Dec 02 2023","UFC Fight Night: Dariush vs. Tsarukyan | Links: 
                    UFC Fight Night: Dariush vs. Tsarukyan                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1400)",6,6
"Dec 09 2023","UFC Fight Night: Song vs. Gutierrez | Links: 
                    UFC Fight Night: Song vs. Gutierrez                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1416)",8,3
"Dec 16 2023","UFC 296 | Links: 
                    UFC 296                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1369)",8,4
"Jan 20 2024","UFC 297 | Links: 
                    UFC 297                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1411)",5,7
"Feb 03 2024","UFC Fight Night: Dolidze vs. Imavov | Links: 
                    UFC Fight Night: Dolidze vs. Imavov                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1442)",8,4
"Feb 10 2024","UFC Fight Night: Hermansson vs. Pyfer | Links: 
                    UFC Fight Night: Hermansson vs. Pyfer                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1447)",7,5
"Feb 24 2024","UFC Fight Night: Moreno vs. Royval | Links: 
                    UFC Fight Night: Moreno vs. Royval                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1448)",9,3
"Mar 02 2024","UFC Fight Night: Rozenstruik vs. Gaziev | Links: 
                    UFC Fight Night: Rozenstruik vs. Gaziev                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1466)",8,3
"Mar 09 2024","UFC 299 | Links: 
                    UFC 299                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1439)",9,5
"Mar 16 2024","UFC Fight Night: Tuivasa vs. Tybura | Links: 
                    UFC Fight Night: Tuivasa vs. Tybura                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1461)",5,7
"Mar 23 2024","UFC Fight Night: Ribas vs. Namajunas | Links: 
                    UFC Fight Night: Ribas vs. Namajunas                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1470)",11,2
"Mar 30 2024","UFC Fight Night: Blanchfield vs. Fiorot | Links: 
                    UFC Fight Night: Blanchfield vs. Fiorot                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1492)",7,6
"Apr 06 2024","UFC Fight Night: Allen vs. Curtis II | Links: 
                    UFC Fight Night: Allen vs. Curtis II                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1495)",7,5
"Apr 13 2024","UFC 300 | Links: 
                    UFC 300                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1444)",10,2
"Apr 27 2024","UFC Fight Night: Nicolau vs Perez | Links: 
                    UFC Fight Night: Nicolau vs Perez                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1509)",7,6
"May 04 2024","UFC 301 | Links: 
                    UFC 301                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1510)",11,2
"May 11 2024","UFC Fight Night: Lewis vs. Nascimento | Links: 
                    UFC Fight Night: Lewis vs. Nascimento                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1520)",8,4
"May 18 2024","UFC Fight Night: Barboza vs. Murphy | Links: 
                    UFC Fight Night: Barboza vs. Murphy                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1528)",9,3
"Jun 08 2024","UFC Fight Night: Cannonier vs. Imavov | Links: 
                    UFC Fight Night: Cannonier vs. Imavov                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1549)",8,6
"Jun 15 2024","UFC Fight Night: Perez vs. Taira | Links: 
                    UFC Fight Night: Perez vs. Taira                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1548)",7,4
"Jun 22 2024","UFC Fight Night: Whittaker vs. Aliskerov | Links: 
                    UFC Fight Night: Whittaker vs. Aliskerov                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1554)",7,4
"Jun 29 2024","UFC 303 | Links: 
                    UFC 303                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1544)",11,2
"Jul 13 2024","UFC Fight Night: Namajunas vs. Cortez | Links: 
                    UFC Fight Night: Namajunas vs. Cortez                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1567)",8,3
"Jul 20 2024","UFC Fight Night: Lemos vs. Jandiroba | Links: 
                    UFC Fight Night: Lemos vs. Jandiroba                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1582)",6,5
"Jul 27 2024","UFC 304 | Links: 
                    UFC 304                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1542)",9,5
"Aug 03 2024","UFC Fight Night: Sandhagen vs. Nurmagomedov | Links: 
                    UFC Fight Night: Sandhagen vs. Nurmagomedov                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1555)",12,1
"Aug 10 2024","UFC Fight Night: Tybura vs. Spivac II | Links: 
                    UFC Fight Night: Tybura vs. Spivac II                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1598)",8,2
"Aug 17 2024","UFC 305 | Links: 
                    UFC 305                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1573)",6,6
"Aug 24 2024","UFC Fight Night: Cannonier vs. Borralho | Links: 
                    UFC Fight Night: Cannonier vs. Borralho                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1607)",9,2
"Sep 14 2024","UFC 306 | Links: 
                    UFC 306                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1583)",5,5
"Sep 28 2024","UFC Fight Night: Moicano vs. Saint-Denis | Links: 
                    UFC Fight Night: Moicano vs. Saint-Denis                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1612)",9,5
"Oct 05 2024","UFC 307 | Links: 
                    UFC 307                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1617)",8,3
"Oct 12 2024","UFC Fight Night: Royval vs. Taira | Links: 
                    UFC Fight Night: Royval vs. Taira                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1660)",10,2
"Oct 19 2024","UFC Fight Night: Pereira vs. Hernandez | Links: 
                    UFC Fight Night: Pereira vs. Hernandez                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1670)",8,3
"Nov 02 2024","UFC Fight Night: Moreno vs. Albazi | Links: 
                    UFC Fight Night: Moreno vs. Albazi                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1616)",11,2
